idna_subject,checker_type,destination,source,tested_at,session_id
13vlib.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:52:46.097342,ea3b0c55c1e8264a14f36d9a
3dvdiso.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:52:46.703082,ea3b0c55c1e8264a14f36d9a
5avlib.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:52:48.482509,ea3b0c55c1e8264a14f36d9a
adultdvdiso.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:52:49.209655,ea3b0c55c1e8264a14f36d9a
adultjav.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:52:51.194588,ea3b0c55c1e8264a14f36d9a
archive-jav.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:52:51.800413,ea3b0c55c1e8264a14f36d9a
asianjavdownload.blogspot.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:52:52.519217,ea3b0c55c1e8264a14f36d9a
av-io.blogspot.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:52:53.224390,ea3b0c55c1e8264a14f36d9a
av2you.link,AVAILABILITY,domains.list,domains.list,2023-11-16 08:52:54.339728,ea3b0c55c1e8264a14f36d9a
avaruaru.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:52:54.772409,ea3b0c55c1e8264a14f36d9a
avbloghd.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:52:55.101556,ea3b0c55c1e8264a14f36d9a
avcute.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:52:56.381425,ea3b0c55c1e8264a14f36d9a
avdvdrar.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:52:57.072385,ea3b0c55c1e8264a14f36d9a
avlib.info,AVAILABILITY,domains.list,domains.list,2023-11-16 08:52:57.427565,ea3b0c55c1e8264a14f36d9a
avmama.pixnet.net,AVAILABILITY,domains.list,domains.list,2023-11-16 08:52:58.840596,ea3b0c55c1e8264a14f36d9a
avotaku.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:52:59.243388,ea3b0c55c1e8264a14f36d9a
avpanel.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:00.124186,ea3b0c55c1e8264a14f36d9a
avpapa.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:00.801189,ea3b0c55c1e8264a14f36d9a
avside.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:01.638037,ea3b0c55c1e8264a14f36d9a
avzone.biz,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:01.971611,ea3b0c55c1e8264a14f36d9a
bdsmsm.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:02.390954,ea3b0c55c1e8264a14f36d9a
bestjav.org,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:15.746591,ea3b0c55c1e8264a14f36d9a
binrand.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:16.448695,ea3b0c55c1e8264a14f36d9a
dmm48.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:17.859029,ea3b0c55c1e8264a14f36d9a
drumfit.org,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:18.394891,ea3b0c55c1e8264a14f36d9a
e-r3.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:18.718637,ea3b0c55c1e8264a14f36d9a
erotorrent.info,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:20.891654,ea3b0c55c1e8264a14f36d9a
fastav.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:21.932638,ea3b0c55c1e8264a14f36d9a
fhd-jav.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:22.252441,ea3b0c55c1e8264a14f36d9a
freeiso4u.blogspot.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:23.147862,ea3b0c55c1e8264a14f36d9a
freeiv.blogspot.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:23.812886,ea3b0c55c1e8264a14f36d9a
freeiv.doorblog.jp,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:25.221830,ea3b0c55c1e8264a14f36d9a
freeiv.jugem.jp,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:26.099662,ea3b0c55c1e8264a14f36d9a
freeiv.seesaa.net,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:26.612845,ea3b0c55c1e8264a14f36d9a
freejapaniso.blogspot.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:27.428728,ea3b0c55c1e8264a14f36d9a
freejav.link,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:27.882531,ea3b0c55c1e8264a14f36d9a
freesexidols.blogspot.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:28.441681,ea3b0c55c1e8264a14f36d9a
freshjav.net,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:28.775050,ea3b0c55c1e8264a14f36d9a
fullhdjav.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:30.232598,ea3b0c55c1e8264a14f36d9a
gravureidol4u.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:31.451488,ea3b0c55c1e8264a14f36d9a
gravureidolvideo.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:32.517600,ea3b0c55c1e8264a14f36d9a
hardcorejav.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:34.826955,ea3b0c55c1e8264a14f36d9a
hardjav.com,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:35.334792,ea3b0c55c1e8264a14f36d9a
hdjav.biz,AVAILABILITY,domains.list,domains.list,2023-11-16 08:53:35.663466,ea3b0c55c1e8264a14f36d9a
