# Generated by PyFunceble (v4.2.29.dev) / https://pyfunceble.github.io
# Date of generation: 2025-06-14T03:57:54.131926+00:00

Registrar                      Percentage   Amount      
------------------------------ ------------ ------------
NameCheap, Inc.                26%          12          
Above.com Pty Ltd.             9%           4           
Dynadot Inc                    9%           4           
GoDaddy.com, LLC               9%           4           
1API GmbH                      4%           2           
Above.com Pty Ltd              4%           2           
CloudFlare, Inc.               4%           2           
Cosmotown, Inc.                4%           2           
DYNADOT, LLC                   4%           2           
Dynadot LLC                    4%           2           
Dynadot, LLC                   4%           2           
Gransy, s.r.o.                 4%           2           
Media Elite Holdings Limited   4%           2           
NameSilo, LLC                  4%           2           
Porkbun LLC                    4%           2           
NameCheap, Inc.                26%          12          
Above.com Pty Ltd.             9%           4           
Dynadot Inc                    9%           4           
GoDaddy.com, LLC               9%           4           
1API GmbH                      4%           2           
Above.com Pty Ltd              4%           2           
CloudFlare, Inc.               4%           2           
Cosmotown, Inc.                4%           2           
DYNADOT, LLC                   4%           2           
Dynadot LLC                    4%           2           
Dynadot, LLC                   4%           2           
Gransy, s.r.o.                 4%           2           
Media Elite Holdings Limited   4%           2           
NameSilo, LLC                  4%           2           
Porkbun LLC                    4%           2           
